2025-08-21 17:15:29 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:17:44 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:17:50 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:17:59 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:33:04 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:33:10 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:33:15 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:34:40 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:35:48 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:35:59 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:36:11 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:36:15 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:42:30 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:42:51 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:43:46 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:44:16 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:44:18 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:44:22 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:44:26 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:45:16 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:46:01 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:46:01 | INFO | app.main:lifespan:35 | Starting RAG application
2025-08-21 17:46:01 | INFO | app.database:init_db:83 | Initializing database
2025-08-21 17:46:01 | INFO | app.database:run_migrations:132 | Created migrations table
2025-08-21 17:46:01 | INFO | app.database:apply_migration:159 | Applying migration: 001_initial_schema
2025-08-21 17:46:01 | INFO | app.database:apply_migration:198 | Migration 001_initial_schema applied successfully
2025-08-21 17:46:01 | INFO | app.database:apply_migration:159 | Applying migration: 002_feedback_tables
2025-08-21 17:46:01 | INFO | app.database:apply_migration:198 | Migration 002_feedback_tables applied successfully
2025-08-21 17:46:01 | INFO | app.database:apply_migration:159 | Applying migration: 003_add_indexes
2025-08-21 17:46:01 | INFO | app.database:apply_migration:198 | Migration 003_add_indexes applied successfully
2025-08-21 17:46:01 | INFO | app.database:apply_migration:159 | Applying migration: 004_chunk_weights
2025-08-21 17:46:01 | INFO | app.database:apply_migration:198 | Migration 004_chunk_weights applied successfully
2025-08-21 17:46:01 | INFO | app.database:init_db:100 | Database initialized successfully
2025-08-21 17:46:01 | INFO | app.main:check_external_services:260 | Checking external services
2025-08-21 17:46:01 | ERROR | app.services.embeddings:_embed_single:100 | Request error to Ollama: All connection attempts failed
2025-08-21 17:46:01 | ERROR | app.services.embeddings:health_check:209 | Embedding service health check failed: Request error to Ollama: All connection attempts failed
2025-08-21 17:46:01 | ERROR | app.services.llm:_generate_sync:151 | Request error to Ollama: All connection attempts failed
2025-08-21 17:46:01 | ERROR | app.services.llm:health_check:280 | LLM service health check failed: Request error to Ollama: All connection attempts failed
2025-08-21 17:46:01 | WARNING | app.main:check_external_services:265 | Ollama service check failed
2025-08-21 17:46:01 | INFO | app.main:lifespan:48 | Application startup completed successfully
2025-08-21 17:48:26 | ERROR | app.main:general_exception_handler:156 | Unexpected exception occurred
2025-08-21 17:48:39 | ERROR | app.main:general_exception_handler:156 | Unexpected exception occurred
2025-08-21 17:48:40 | ERROR | app.main:general_exception_handler:156 | Unexpected exception occurred
2025-08-21 17:48:40 | ERROR | app.main:general_exception_handler:156 | Unexpected exception occurred
2025-08-21 17:52:57 | INFO | app.main:lifespan:57 | Shutting down RAG application
2025-08-21 17:52:57 | INFO | app.core.logging:setup_logging:79 | Logging configured
2025-08-21 17:52:58 | INFO | app.main:lifespan:35 | Starting RAG application
2025-08-21 17:52:58 | INFO | app.database:init_db:83 | Initializing database
2025-08-21 17:52:58 | INFO | app.database:init_db:100 | Database initialized successfully
2025-08-21 17:52:58 | INFO | app.main:check_external_services:260 | Checking external services
2025-08-21 17:52:58 | ERROR | app.services.embeddings:_embed_single:100 | Request error to Ollama: All connection attempts failed
2025-08-21 17:52:58 | ERROR | app.services.embeddings:health_check:209 | Embedding service health check failed: Request error to Ollama: All connection attempts failed
2025-08-21 17:52:58 | ERROR | app.services.llm:_generate_sync:151 | Request error to Ollama: All connection attempts failed
2025-08-21 17:52:58 | ERROR | app.services.llm:health_check:280 | LLM service health check failed: Request error to Ollama: All connection attempts failed
2025-08-21 17:52:58 | WARNING | app.main:check_external_services:265 | Ollama service check failed
2025-08-21 17:52:58 | INFO | app.main:lifespan:48 | Application startup completed successfully
2025-08-21 17:53:07 | INFO | app.main:lifespan:57 | Shutting down RAG application
2025-08-21 17:53:07 | INFO | app.core.logging:setup_logging:80 | Logging configured
2025-08-21 17:53:08 | INFO | app.main:lifespan:35 | Starting RAG application
2025-08-21 17:53:08 | INFO | app.database:init_db:83 | Initializing database
2025-08-21 17:53:08 | INFO | app.database:init_db:100 | Database initialized successfully
2025-08-21 17:53:08 | INFO | app.main:check_external_services:260 | Checking external services
2025-08-21 17:53:08 | ERROR | app.services.embeddings:_embed_single:100 | Request error to Ollama: All connection attempts failed
2025-08-21 17:53:08 | ERROR | app.services.embeddings:health_check:209 | Embedding service health check failed: Request error to Ollama: All connection attempts failed
2025-08-21 17:53:08 | ERROR | app.services.llm:_generate_sync:151 | Request error to Ollama: All connection attempts failed
2025-08-21 17:53:08 | ERROR | app.services.llm:health_check:280 | LLM service health check failed: Request error to Ollama: All connection attempts failed
2025-08-21 17:53:08 | WARNING | app.main:check_external_services:265 | Ollama service check failed
2025-08-21 17:53:08 | INFO | app.main:lifespan:48 | Application startup completed successfully
2025-08-21 17:53:12 | INFO | app.core.logging:send_wrapper:136 | Request completed
2025-08-21 17:53:13 | WARNING | app.core.logging:send_wrapper:136 | Request completed
2025-08-23 17:47:35 | INFO | app.core.logging:setup_logging:80 | Logging configured
2025-08-23 17:47:36 | INFO | app.main:lifespan:35 | Starting RAG application
2025-08-23 17:47:36 | INFO | app.database:init_db:83 | Initializing database
2025-08-23 17:47:36 | INFO | app.database:init_db:100 | Database initialized successfully
2025-08-23 17:47:36 | INFO | app.main:check_external_services:260 | Checking external services
2025-08-23 17:47:36 | ERROR | app.services.embeddings:_embed_single:100 | Request error to Ollama: All connection attempts failed
2025-08-23 17:47:36 | ERROR | app.services.embeddings:health_check:209 | Embedding service health check failed: Request error to Ollama: All connection attempts failed
2025-08-23 17:47:36 | ERROR | app.services.llm:_generate_sync:151 | Request error to Ollama: All connection attempts failed
2025-08-23 17:47:36 | ERROR | app.services.llm:health_check:280 | LLM service health check failed: Request error to Ollama: All connection attempts failed
2025-08-23 17:47:36 | WARNING | app.main:check_external_services:265 | Ollama service check failed
2025-08-23 17:47:36 | INFO | app.main:lifespan:48 | Application startup completed successfully
2025-08-23 17:47:42 | INFO | app.core.logging:send_wrapper:136 | Request completed
2025-08-23 17:47:42 | WARNING | app.core.logging:send_wrapper:136 | Request completed
2025-08-23 18:12:04 | INFO | app.core.logging:setup_logging:80 | Logging configured
2025-08-23 18:12:04 | INFO | app.main:lifespan:35 | Starting RAG application
2025-08-23 18:12:04 | INFO | app.database:init_db:83 | Initializing database
2025-08-23 18:12:04 | INFO | app.database:init_db:100 | Database initialized successfully
2025-08-23 18:12:04 | INFO | app.main:check_external_services:260 | Checking external services
2025-08-23 18:12:04 | ERROR | app.services.embeddings:_embed_single:100 | Request error to Ollama: All connection attempts failed
2025-08-23 18:12:04 | ERROR | app.services.embeddings:health_check:209 | Embedding service health check failed: Request error to Ollama: All connection attempts failed
2025-08-23 18:12:04 | ERROR | app.services.llm:_generate_sync:151 | Request error to Ollama: All connection attempts failed
2025-08-23 18:12:04 | ERROR | app.services.llm:health_check:280 | LLM service health check failed: Request error to Ollama: All connection attempts failed
2025-08-23 18:12:04 | WARNING | app.main:check_external_services:265 | Ollama service check failed
2025-08-23 18:12:04 | INFO | app.main:lifespan:48 | Application startup completed successfully
2025-08-23 18:13:27 | INFO | app.main:lifespan:57 | Shutting down RAG application
2025-08-23 18:13:28 | INFO | app.core.logging:setup_logging:80 | Logging configured
2025-08-23 18:13:28 | INFO | app.main:lifespan:35 | Starting RAG application
2025-08-23 18:13:28 | INFO | app.database:init_db:83 | Initializing database
2025-08-23 18:13:28 | INFO | app.database:init_db:100 | Database initialized successfully
2025-08-23 18:13:28 | INFO | app.main:check_external_services:260 | Checking external services
2025-08-23 18:13:28 | ERROR | app.services.embeddings:_embed_single:100 | Request error to Ollama: All connection attempts failed
2025-08-23 18:13:28 | ERROR | app.services.embeddings:health_check:209 | Embedding service health check failed: Request error to Ollama: All connection attempts failed
2025-08-23 18:13:28 | ERROR | app.services.llm:_generate_sync:151 | Request error to Ollama: All connection attempts failed
2025-08-23 18:13:28 | ERROR | app.services.llm:health_check:280 | LLM service health check failed: Request error to Ollama: All connection attempts failed
2025-08-23 18:13:28 | WARNING | app.main:check_external_services:265 | Ollama service check failed
2025-08-23 18:13:28 | INFO | app.main:lifespan:48 | Application startup completed successfully
2025-08-23 18:13:29 | INFO | app.main:lifespan:57 | Shutting down RAG application
2025-08-23 18:13:29 | INFO | app.core.logging:setup_logging:80 | Logging configured
2025-08-23 18:13:29 | INFO | app.main:lifespan:35 | Starting RAG application
2025-08-23 18:13:29 | INFO | app.database:init_db:83 | Initializing database
2025-08-23 18:13:29 | INFO | app.database:init_db:100 | Database initialized successfully
