2025-08-21 17:46:01 | ERROR | app.services.embeddings:_embed_single:100 | Request error to Ollama: All connection attempts failed | {}
2025-08-21 17:46:01 | ERROR | app.services.embeddings:health_check:209 | Embedding service health check failed: Request error to Ollama: All connection attempts failed | {}
2025-08-21 17:46:01 | ERROR | app.services.llm:_generate_sync:151 | Request error to Ollama: All connection attempts failed | {}
2025-08-21 17:46:01 | ERROR | app.services.llm:health_check:280 | LLM service health check failed: Request error to Ollama: All connection attempts failed | {}
2025-08-21 17:48:26 | ERROR | app.main:general_exception_handler:156 | Unexpected exception occurred | {'exception_type': 'UnboundLocalError', 'message': "cannot access local variable 'time' where it is not associated with a value", 'path': '/', 'method': 'GET'}
2025-08-21 17:48:39 | ERROR | app.main:general_exception_handler:156 | Unexpected exception occurred | {'exception_type': 'UnboundLocalError', 'message': "cannot access local variable 'time' where it is not associated with a value", 'path': '/', 'method': 'GET'}
2025-08-21 17:48:40 | ERROR | app.main:general_exception_handler:156 | Unexpected exception occurred | {'exception_type': 'UnboundLocalError', 'message': "cannot access local variable 'time' where it is not associated with a value", 'path': '/', 'method': 'GET'}
2025-08-21 17:48:40 | ERROR | app.main:general_exception_handler:156 | Unexpected exception occurred | {'exception_type': 'UnboundLocalError', 'message': "cannot access local variable 'time' where it is not associated with a value", 'path': '/', 'method': 'GET'}
2025-08-21 17:52:58 | ERROR | app.services.embeddings:_embed_single:100 | Request error to Ollama: All connection attempts failed | {}
2025-08-21 17:52:58 | ERROR | app.services.embeddings:health_check:209 | Embedding service health check failed: Request error to Ollama: All connection attempts failed | {}
2025-08-21 17:52:58 | ERROR | app.services.llm:_generate_sync:151 | Request error to Ollama: All connection attempts failed | {}
2025-08-21 17:52:58 | ERROR | app.services.llm:health_check:280 | LLM service health check failed: Request error to Ollama: All connection attempts failed | {}
2025-08-21 17:53:08 | ERROR | app.services.embeddings:_embed_single:100 | Request error to Ollama: All connection attempts failed | {}
2025-08-21 17:53:08 | ERROR | app.services.embeddings:health_check:209 | Embedding service health check failed: Request error to Ollama: All connection attempts failed | {}
2025-08-21 17:53:08 | ERROR | app.services.llm:_generate_sync:151 | Request error to Ollama: All connection attempts failed | {}
2025-08-21 17:53:08 | ERROR | app.services.llm:health_check:280 | LLM service health check failed: Request error to Ollama: All connection attempts failed | {}
2025-08-23 17:47:36 | ERROR | app.services.embeddings:_embed_single:100 | Request error to Ollama: All connection attempts failed | {}
2025-08-23 17:47:36 | ERROR | app.services.embeddings:health_check:209 | Embedding service health check failed: Request error to Ollama: All connection attempts failed | {}
2025-08-23 17:47:36 | ERROR | app.services.llm:_generate_sync:151 | Request error to Ollama: All connection attempts failed | {}
2025-08-23 17:47:36 | ERROR | app.services.llm:health_check:280 | LLM service health check failed: Request error to Ollama: All connection attempts failed | {}
2025-08-23 18:12:04 | ERROR | app.services.embeddings:_embed_single:100 | Request error to Ollama: All connection attempts failed | {}
2025-08-23 18:12:04 | ERROR | app.services.embeddings:health_check:209 | Embedding service health check failed: Request error to Ollama: All connection attempts failed | {}
2025-08-23 18:12:04 | ERROR | app.services.llm:_generate_sync:151 | Request error to Ollama: All connection attempts failed | {}
2025-08-23 18:12:04 | ERROR | app.services.llm:health_check:280 | LLM service health check failed: Request error to Ollama: All connection attempts failed | {}
2025-08-23 18:13:28 | ERROR | app.services.embeddings:_embed_single:100 | Request error to Ollama: All connection attempts failed | {}
2025-08-23 18:13:28 | ERROR | app.services.embeddings:health_check:209 | Embedding service health check failed: Request error to Ollama: All connection attempts failed | {}
2025-08-23 18:13:28 | ERROR | app.services.llm:_generate_sync:151 | Request error to Ollama: All connection attempts failed | {}
2025-08-23 18:13:28 | ERROR | app.services.llm:health_check:280 | LLM service health check failed: Request error to Ollama: All connection attempts failed | {}
2025-08-23 18:13:29 | ERROR | app.services.embeddings:_embed_single:100 | Request error to Ollama: All connection attempts failed | {}
2025-08-23 18:13:29 | ERROR | app.services.embeddings:health_check:209 | Embedding service health check failed: Request error to Ollama: All connection attempts failed | {}
2025-08-23 18:13:29 | ERROR | app.services.llm:_generate_sync:151 | Request error to Ollama: All connection attempts failed | {}
2025-08-23 18:13:29 | ERROR | app.services.llm:health_check:280 | LLM service health check failed: Request error to Ollama: All connection attempts failed | {}
2025-08-23 18:13:36 | ERROR | app.services.embeddings:_embed_single:100 | Request error to Ollama: All connection attempts failed | {}
2025-08-23 18:13:36 | ERROR | app.services.embeddings:health_check:209 | Embedding service health check failed: Request error to Ollama: All connection attempts failed | {}
2025-08-23 18:13:36 | ERROR | app.services.llm:_generate_sync:151 | Request error to Ollama: All connection attempts failed | {}
2025-08-23 18:13:36 | ERROR | app.services.llm:health_check:280 | LLM service health check failed: Request error to Ollama: All connection attempts failed | {}
